case,depth,expected,baseline_bestmove,candidate_bestmove,baseline_pass,candidate_pass,baseline_elapsed_ms,candidate_elapsed_ms,baseline_nodes,candidate_nodes,baseline_qnodes,candidate_qnodes,baseline_delta,candidate_delta,baseline_depth_reached,candidate_depth_reached,baseline_engine_elapsed_ms,candidate_engine_elapsed_ms
mate_in_1_scholars,4,h5f7,h5f7,h5f7,PASS,PASS,28,25,394,394,50,50,2,2,4,4,9,8
avoid_horizon_blunder,4,!c4d5,b1c3,b1c3,PASS,PASS,322,320,151552,145408,148201,142128,21580,19606,3,3,302,303
italian_main,6,,c1g5,c1g5,NA,NA,318,261,174080,134982,169412,131209,23568,17165,3,3,300,243
ruy_lopez_closed,6,,b1c3,b1c3,NA,NA,319,319,198656,200704,193074,196253,30061,28036,4,4,302,302
sicilian_najdorf_shell,6,,c1e3,c1e3,NA,NA,262,298,167968,182613,162718,177373,23325,24526,3,3,245,281
french_advance,6,,f1d3,f1d3,NA,NA,317,260,180224,129866,175980,126779,34428,24129,3,3,300,243
caro_kann_classical,6,,g1f3,g1f3,NA,NA,319,320,176128,165888,154449,145903,21952,21543,3,3,301,303
qgd_main,6,,g5f6,g5f6,NA,NA,317,318,184320,174080,180850,170059,26730,23549,3,3,300,301
slav_main,6,,e2e4,e2e4,NA,NA,286,318,176935,182272,162274,155291,29305,26061,5,5,269,300
english_symmetrical,6,,c3e4,g1f3,NA,NA,317,318,194560,176128,178182,162733,29301,28589,4,4,300,301
kings_indian_shell,6,,c1f4,c1f4,NA,NA,316,317,186368,176128,182608,172462,24761,22067,3,3,300,301
nimzo_indian_shell,6,,c1d2,c1d2,NA,NA,320,317,167936,161792,163138,157460,27092,25216,3,3,302,300
scotch_game,6,,c1g5,c1g5,NA,NA,319,319,192512,180224,173515,161564,26675,26950,4,4,301,302
vienna_game,6,,c8f5,c8f5,NA,NA,253,304,141969,159984,134492,151451,18922,20929,4,4,236,287
pirc_setup,6,,c1e3,c1e3,NA,NA,245,298,141232,161879,136379,157096,18783,20671,4,4,228,281
dutch_stonewall_shell,6,,b1c3,b1c3,NA,NA,318,316,169984,163840,161727,154651,25757,24069,4,4,301,300
london_system,6,,b1d2,f1b5,NA,NA,319,318,217088,180224,197120,173685,45028,30128,4,3,303,300
catalan_shell,6,,c1f4,c1f4,NA,NA,318,317,180224,159744,174425,153744,28051,23530,4,4,301,300
benoni_structure,6,,c1f4,c1f4,NA,NA,317,317,196608,172032,186108,162689,28414,26975,4,4,300,300
grunfeld_shell,6,,d5c3,d5c3,NA,NA,318,317,186368,178176,170041,165686,29186,27114,3,3,300,300
scandinavian_main,6,,g1f3,g1f3,NA,NA,319,322,182272,165888,160712,148072,22084,21250,3,3,301,303
evans_gambit,6,,c1a3,c1a3,NA,NA,321,318,176128,161792,171427,157192,28356,25110,3,3,302,301
philidor_setup,6,,c1e3,c1e3,NA,NA,320,318,182272,165888,177547,161113,22877,21905,3,3,301,300
four_knights_spanish,6,,c6d4,c6d4,NA,NA,320,321,215040,178176,212580,176669,32876,30647,2,2,301,303
petrov_main,6,,c1d2,f1d3,NA,NA,319,320,192512,167936,167112,152129,19391,18442,4,4,301,302
endgame_kpk,8,,e2e3,e2d3,NA,NA,25,42,6615,6746,1909,1916,0,0,8,8,8,15
endgame_ocb,8,,c2e4,c2e4,NA,NA,57,50,79298,69843,30503,27203,332,210,8,8,39,32
endgame_rook_push,8,,g1f1,g1f1,NA,NA,26,23,393,393,43,43,0,0,8,8,7,6
endgame_minor_hold,8,,e3d1,e3d1,NA,NA,29,29,22915,22915,7109,7109,0,0,8,8,12,11
